rank,name,zip,employees,revenues,latitude,longitude,profit
277,DISCOVER FINANCIAL SERVICES,60015,15549,10497,42.15495,-87.88834,2393
487,ESSENDANT,60015,6600,5369,42.16412,-87.87666,63.9
109,MONDELEZ INTERNATIONAL,60015,90000,25923,42.16287,-87.87935,1659
17,WALGREENS BOOTS ALLIANCE,60015,300000,117351,42.1552,-87.86746,4173
450,PACKAGING CORP. OF AMERICA,60045,14000,5779,42.24325,-87.89465,449.6
322,TENNECO,60045,31000,8599,42.24862,-87.89968,363
282,W.W. GRAINGER,60045,25000,10137,42.23856,-87.91151,605.9
199,CDW,60061,8516,13982,42.22831,-87.94421,424.4
296,HERTZ GLOBAL HOLDINGS,33928,36000,9480,26.41844,-81.80972,-491
365,PPL,18101,12689,7517,40.60152,-75.47591,1902
294,AIR PRODUCTS & CHEMICALS,18195,18450,9524,40.55074,-75.59747,631.1
492,ROCKWELL COLLINS,52498,19000,5259,42.03147,-91.64372,728
135,ABBOTT LABORATORIES,90401,75000,20853,34.00131,-118.48518,1400
222,FARMERS INSURANCE EXCHANGE,90010,13309,12513,34.185167,-118.602327,-147.9
278,OCCIDENTAL PETROLEUM,90024,11000,10398,34.05937,-118.44365,-574
161,AECOM,90067,87000,17411,34.058754,-118.416831,96.1
214,CBRE GROUP,90071,75000,13072,34.05154,-118.25348,572
320,RELIANCE STEEL & ALUMINUM,90071,14500,8613,34.05166,-118.25138,304.3
330,LIVE NATION ENTERTAINMENT,90210,11500,8355,34.07423,-118.39846,2.9
474,MATTEL,90245,32000,5457,33.9203,-118.39185,318
406,ACTIVISION BLIZZARD,90405,9500,6608,34.01978,-118.45255,966
156,MOLINA HEALTHCARE,90802,21000,17782,33.7666,-118.20027,52
259,JACOBS ENGINEERING GROUP,75201,49350,10964,32.784595,-96.797508,210.5
430,AVERY DENNISON,91203,25000,6087,34.15706,-118.25654,320.7
52,DISNEY,91521,195000,55632,34.15687,-118.32503,9391
235,EDISON INTERNATIONAL,91770,12390,11869,34.05394,-118.08024,1311
447,DANA HOLDING,43537,24900,5826,41.5677,-83.69383,640
458,OWENS CORNING,43659,16000,5677,41.64625,-83.53444,393
45,ARCHER DANIELS MIDLAND,62526,31800,62346,39.86725,-88.88608,1279
175,FREEPORT-MCMORAN,85004,30000,15789,33.45174,-112.07317,-4154
108,AVNET,85034,17700,26219,33.42748,-111.97988,506.5
299,REPUBLIC SERVICES,85054,33000,9388,33.65417,-111.93085,612.6
473,INSIGHT ENTERPRISES,85283,5930,5486,33.35718,-111.96819,84.7
477,SIMON PROPERTY GROUP,46204,4050,5435,39.76681,-86.1623,1838.9
29,ANTHEM,46204,53000,84863,39.76913,-86.15881,2469.8
132,ELI LILLY,46285,41975,21222,39.75545,-86.15487,2737.6
33,STATE FARM INSURANCE COS.,61710,68234,76132,40.47689,-88.95483,350.3
121,DUKE ENERGY,28202,28798,23369,35.22391,-80.8481,2152
169,NUCOR,28211,23900,16208,35.15941,-80.83467,796.3
287,SONIC AUTOMOTIVE,28211,9800,9732,35.17689,-80.79705,93.2
26,BANK OF AMERICA CORP.,28255,208024,93662,35.22704,-80.84207,17906
229,NRG ENERGY,8540,8763,12351,40.319335,-74.655125,-774
260,LENNAR,33172,8335,10950,25.77582,-80.36969,911.8
394,RYDER SYSTEM,33178,34500,6787,25.86816,-80.38533,262.5
103,WORLD FUEL SERVICES,33178,5000,27016,25.81058,-80.35481,126.5
87,TJX,1701,235000,33184,42.30874,-71.38258,2298.2
140,STAPLES,1702,61503,20217,42.29132,-71.4901,-1497
327,BOSTON SCIENTIFIC,1760,27000,8386,42.36118,-71.55768,347
248,BIOGEN,2142,7400,11449,42.36644,-71.08516,3702.8
116,RAYTHEON,2451,63000,24069,42.40632,-71.27939,2211
154,THERMO FISHER SCIENTIFIC,2451,54800,18274,42.399867,-71.25811,2021.8
334,GLOBAL PARTNERS,2453,1770,8240,42.35475,-71.26202,-199.4
62,DOW CHEMICAL,48674,56000,48158,43.43742,-84.01462,4318
368,WEC ENERGY GROUP,53203,8074,7472,43.03701,-87.91382,939
97,NORTHWESTERN MUTUAL,53202,5646,28799,43.03961,-87.90223,818
442,ROCKWELL AUTOMATION,53204,22000,5880,43.01807,-87.91331,729.7
435,HARLEY-DAVIDSON,53208,6000,5997,43.04561,-87.96181,692.2
146,MANPOWERGROUP,53212,28000,19654,43.0493,-87.91236,443.7
408,CONSTELLATION BRANDS,14450,9000,6548,43.0398,-77.45625,1054.9
497,TOLL BROTHERS,19044,4200,5170,40.17486,-75.1359,382.1
457,UGI,19406,13105,5686,40.08857,-75.40659,364.7
276,UNIVERSAL HEALTH SERVICES,19406,70863,10508,40.07846,-75.3696,702.4
472,HOST HOTELS & RESORTS,20817,220000,5488,39.02808,-77.1391,762
56,LOCKHEED MARTIN,20817,97000,50658,39.031,-77.13895,5302
163,MARRIOTT INTERNATIONAL,20817,226500,17072,39.02452,-77.13904,780
412,DISCOVERY COMMUNICATIONS,20910,7000,6497,38.99502,-77.02808,1194
344,ANADARKO PETROLEUM,77380,4500,7869,30.16059,-95.4541,-3071
319,AVIS BUDGET GROUP,7054,25600,8659,40.84933,-74.44997,163
172,PBF ENERGY,7054,3165,15920,40.84762,-74.45694,170.8
461,WYNDHAM WORLDWIDE,7054,37800,5599,40.84681,-74.44784,611
