block,avg_lat,avg_lng
EUREKA ST 300,37.7565779503333,-122.437963860333
47TH AVE 1500,37.7574950613953,-122.506802086977
CHRISTOPHER DR 0,37.7565920273684,-122.456092383158
TERRY A FRANCOIS BLVD 400,37.7721423775,-122.3869023125
VALMAR TER 0,37.7266281731818,-122.423861507273
OLMSTEAD ST 300,37.7220423366667,-122.405035406667
CHESTNUT ST 1500,37.8018236319444,-122.428986003333
20TH ST 2600,37.7592682090909,-122.407555221818
18TH ST 2200,37.7621579055556,-122.404812097778
18TH ST 1300,37.7626046455556,-122.396010527778
EDDY ST 400,37.7836635817647,-122.415129721765
IRVING ST 1000,37.763903513125,-122.469001658125
PANORAMA DR 700,37.7533649129167,-122.454321789167
POLK ST 2300,37.7983003521739,-122.422188844348
BRONTE ST 0,37.7389098083333,-122.4102112625
WINFIELD ST 300,37.7407149443333,-122.419801764
CASHMERE ST 100,37.7364288988889,-122.384417887778
BEACH ST 400,37.8071551252632,-122.416339315263
DAY ST 100,37.7429861043902,-122.425549930488
SAN BRUNO AVE 2500,37.7295331836957,-122.404334008913
PERSIA AVE 1000,37.7189640766667,-122.427584178333
STANTON ST 0,37.7572766292308,-122.441968397692
UNION ST 500,37.8005026822,-122.4083587302
BARTLETT ST 100,37.754556413871,-122.419618313548
OCEAN AVE 4600,37.7319498825,-122.4927089525
MORAGA ST 1700,37.755896975,-122.4814261825
QUESADA AVE 1300,37.7296829015789,-122.384918024211
STEVENSON ST 1100,37.77344603,-122.41989869
LYON ST 2300,37.79240324,-122.44614242
04TH AVE 600,37.7763859319178,-122.461783829863
LAKE ST 1000,37.7864020133333,-122.470578730952
09TH ST 500,37.7707649828571,-122.407800774286
LOMBARD ST 0,37.8040510266667,-122.402548488333
EDNA ST 400,37.7303849371429,-122.446543214286
PACHECO ST 2800,37.749871999,-122.490676496
GRIFFITH ST 2400,37.7191786181818,-122.386578548182
TURK ST 400,37.7824434747619,-122.416536030476
BUENA VISTA TER 100,37.7667806906897,-122.438243723448
27TH AVE 1300,37.7622116122951,-122.485635261639
QUESADA AVE 1200,37.7285585185714,-122.383064977429
OCEAN AVE 4100,37.7321453475,-122.4884683975
SOUTH VAN NESS AVE 1100,37.7547220230612,-122.416511571224
RAYMOND AVE 500,37.7150947422222,-122.414652290556
MASONIC AVE 200,37.7796157180953,-122.44746375381
SHORE VIEW AVE 0,37.7805995651852,-122.497635611481
IRVING ST 100,37.764472,-122.459466616
CASHMERE ST 0,37.7358249496774,-122.382495709032
MARKET ST 1300,37.776896495,-122.41651628
BELGRAVE AVE 0,37.75957242625,-122.44888379
CALIFORNIA ST 4200,37.7853152871429,-122.463014787857
ELLINGTON AVE 0,37.7154538396154,-122.442840501154
